event,id,send_time,received_time,time_delta
DHT11DATA,e5fdc3cf-6349-4f9c-8230-9ff436679082,2019-10-25 09:20:24.538,2019-10-25 09:20:24.823050,0:00:00.285050
DHT11DATA,149d7655-2b11-4175-86ff-cf4f5d47c775,2019-10-25 09:20:29.641,2019-10-25 09:20:30.046030,0:00:00.405030
DHT11DATA,d6d43b94-e9b0-4b04-a2cb-f0606ac5b987,2019-10-25 09:20:34.745,2019-10-25 09:20:36.359615,0:00:01.614615
DHT11DATA,b7022e0e-b08c-4e24-a22a-7eec866495d5,2019-10-25 09:20:39.846,2019-10-25 09:20:41.001560,0:00:01.155560
DHT11DATA,fe7189b1-4d22-4359-a2cf-38f7ad9f5c14,2019-10-25 09:20:44.942,2019-10-25 09:20:45.207074,0:00:00.265074
DHT11DATA,3fc0fe4c-414e-44e7-8107-4979c1c85162,2019-10-25 09:20:50.040,2019-10-25 09:20:50.320300,0:00:00.280300
DHT11DATA,178db1a5-a632-4b5c-8e86-9bae479f8e01,2019-10-25 09:20:55.135,2019-10-25 09:20:55.401671,0:00:00.266671
DHT11DATA,6ba9ff05-2ef2-4121-b80c-bf5c4f87eb7a,2019-10-25 09:21:00.236,2019-10-25 09:21:01.814619,0:00:01.578619
DHT11DATA,1a6a6d20-3f08-4e90-838d-8d5681011eaa,2019-10-25 09:21:05.341,2019-10-25 09:21:05.665944,0:00:00.324944
DHT11DATA,5b2ec127-55f6-45cc-b966-bdf6f5ac2a9e,2019-10-25 09:21:10.438,2019-10-25 09:21:12.037672,0:00:01.599672
DHT11DATA,1b0643d1-839a-4bf6-8602-5e0172d116f0,2019-10-25 09:21:15.538,2019-10-25 09:21:15.920632,0:00:00.382632
DHT11DATA,2d15b67b-1fb9-41c6-b132-28e63c0b06a5,2019-10-25 09:21:20.640,2019-10-25 09:21:21.732325,0:00:01.092325
DHT11DATA,d4d71fac-4232-4d02-8273-a9adcd5f46b2,2019-10-25 09:21:25.739,2019-10-25 09:21:26.058706,0:00:00.319706
DHT11DATA,a259bcd2-3d0b-4dc4-a90b-da2bc73b6b40,2019-10-25 09:21:30.837,2019-10-25 09:21:31.893549,0:00:01.056549
DHT11DATA,a79fef48-0516-43d0-906b-aa0e6f8592c6,2019-10-25 09:21:35.931,2019-10-25 09:21:37.015934,0:00:01.084934
DHT11DATA,645149d6-caa9-48d9-ac27-2b9d5ed04323,2019-10-25 09:21:41.026,2019-10-25 09:21:41.931192,0:00:00.905192
DHT11DATA,8f113a88-93c2-46f4-9b48-fdbfbc596696,2019-10-25 09:21:46.120,2019-10-25 09:21:47.405819,0:00:01.285819
DHT11DATA,bdab6cd9-9dae-421d-bfcd-9ceac774c971,2019-10-25 09:21:51.214,2019-10-25 09:21:51.551040,0:00:00.337040
DHT11DATA,87482b00-5c97-404c-bf8a-1b16e8b9ca75,2019-10-25 09:21:56.311,2019-10-25 09:21:57.466627,0:00:01.155627
DHT11DATA,94c61fba-ec04-424b-9c4a-8dc9747fd226,2019-10-25 09:22:01.407,2019-10-25 09:22:01.670334,0:00:00.263334
DHT11DATA,94c61fba-ec04-424b-9c4a-8dc9747fd226,2019-10-25 09:22:01.407,2019-10-25 09:22:01.669647,0:00:00.262647
DHT11DATA,17855b7b-bf64-4df9-866e-034eaa475684,2019-10-25 09:22:06.504,2019-10-25 09:22:07.365863,0:00:00.861863
DHT11DATA,17855b7b-bf64-4df9-866e-034eaa475684,2019-10-25 09:22:06.504,2019-10-25 09:22:07.367623,0:00:00.863623
DHT11DATA,faab3852-4476-454a-8a7f-41d8f894435c,2019-10-25 09:22:11.600,2019-10-25 09:22:11.863843,0:00:00.263843
DHT11DATA,faab3852-4476-454a-8a7f-41d8f894435c,2019-10-25 09:22:11.600,2019-10-25 09:22:11.864116,0:00:00.264116
DHT11DATA,0e6809fd-a212-4039-9375-651a14d83e71,2019-10-25 09:22:16.697,2019-10-25 09:22:18.180244,0:00:01.483244
DHT11DATA,0e6809fd-a212-4039-9375-651a14d83e71,2019-10-25 09:22:16.697,2019-10-25 09:22:18.180244,0:00:01.483244
DHT11DATA,e3b7a78c-9e25-4cad-a0a6-e7c6836fb273,2019-10-25 09:22:21.793,2019-10-25 09:22:22.108692,0:00:00.315692
DHT11DATA,e3b7a78c-9e25-4cad-a0a6-e7c6836fb273,2019-10-25 09:22:21.793,2019-10-25 09:22:22.113623,0:00:00.320623
DHT11DATA,7d701d62-ba59-42f9-87fa-0f3802624e48,2019-10-25 09:22:26.888,2019-10-25 09:22:27.198114,0:00:00.310114
DHT11DATA,1db552c7-f98a-45e0-8bda-38a48d9e9276,2019-10-25 09:22:31.981,2019-10-25 09:22:33.642620,0:00:01.661620
DHT11DATA,7ff99306-fa8d-4367-b1f4-50d4feb3d642,2019-10-25 09:22:37.078,2019-10-25 09:22:37.411419,0:00:00.333419
DHT11DATA,153027aa-d35e-423d-bf24-32b3bc36083b,2019-10-25 09:22:42.185,2019-10-25 09:22:43.062969,0:00:00.877969
DHT11DATA,dcfd1b1e-4635-4248-9158-84fe727cab47,2019-10-25 09:22:47.278,2019-10-25 09:22:48.763278,0:00:01.485278
DHT11DATA,e81326a7-9f00-4fd2-b536-1fe99a903544,2019-10-25 09:22:52.372,2019-10-25 09:22:52.677458,0:00:00.305458
DHT11DATA,f8cc9052-4112-4681-946a-4ef5d181b40c,2019-10-25 09:22:57.463,2019-10-25 09:22:57.766612,0:00:00.303612
DHT11DATA,15751373-0f1f-4839-93fa-69dc2ef79828,2019-10-25 09:23:02.557,2019-10-25 09:23:03.438816,0:00:00.881816
